GeneID	log2FC_geo	padj_geo	Symbol_geo	log2FC	padj_py	Symbol_py
65057	-0.4926247	6.59e-09	ACD	0.4768742209021006		ACD
388531	1.3073143	6.69e-09	RGS9BP	-1.2284370858824485		RGS9BP
60468	-0.8217005	6.72e-09	BACH2	0.837053357856447		BACH2
91179	-1.1395837	6.82e-09	SCARF2	0.7950973724845649		SCARF2
285389	-1.7056965	6.86e-09	LINC02028	2.019911076610798		LINC02028
2874	0.4954735	6.86e-09	GPS2	-0.5049509068560676		GPS2
115703	-0.7367583	7.04e-09	ARHGAP33	0.990132603690158		ARHGAP33
2800	0.2841432	7.04e-09	GOLGA1	-0.4392613789696682		GOLGA1
4898	0.3404239	7.13e-09	NRDC	0.00867886261668		NRDC
6728	0.4122938	7.38e-09	SRP19	-0.494457112685243		SRP19
26251	-0.5243812	7.43e-09	KCNG2	-0.4324680394790592		KCNG2
23022	0.7335686	7.54e-09	PALLD	-0.975933610076801		PALLD
3150	-0.5610979	7.56e-09	HMGN1	0.4200140770587408		HMGN1
158326	-1.331956	7.89e-09	FREM1	1.5521140608637691		FREM1
128853	-1.2820652	7.9e-09	DUSP15	1.2554260911922812		DUSP15
4953	-0.7943044	7.94e-09	ODC1	0.8394472866606932		ODC1
153768	1.4979293	8.24e-09	PRELID2	-1.072667453276199		PRELID2
23598	-0.494589	8.29e-09	PATZ1	0.5406094715429282		PATZ1
2287	0.5774909	8.68e-09	FKBP3	-0.4683487640053938		FKBP3
8602	0.3685691	8.74e-09	NOP14	-0.3180151598296148		NOP14
51196	-1.1798838	9.11e-09	PLCE1	1.547288437379644		PLCE1
3824	-1.0366354	9.37e-09	KLRD1	1.4802882530452035		KLRD1
6844	-0.3853509	9.37e-09	VAMP2	0.4144758637512105		VAMP2
284273	0.4110756	9.53e-09	PTGR3	-0.2486809451703004		PTGR3
2207	1.0904342	9.53e-09	FCER1G	-0.9082975602492818		FCER1G
54943	0.801157	9.53e-09	DNAJC28	-0.812756150630086		DNAJC28
