gene	log2FC	pvalue	padj
ENSG00000011465	0.34655418943615857	0.026573308893430535	
ENSG00000011478	0.2579513781114293	0.14663246339099606	
ENSG00000011485	-0.18344927012429135	0.045438681379329895	
ENSG00000011523	0.3020471075514055	0.005967495043251766	
ENSG00000011566	-0.41558048808439363	0.001937983131051587	
ENSG00000011590	0.48728879304234773	0.620190261603039	
ENSG00000011600	-0.2837021547718903	0.24474652107816797	
ENSG00000011638	0.20570683700353865	0.10373187869031472	
ENSG00000011677	4.158234172257724	0.17661505821102452	
ENSG00000012048	-0.050302144459331455	0.6808870479484811	
ENSG00000012061	-0.30634288152154987	0.0029420937451427125	
ENSG00000012124	1.0212797992858744	0.002809597189813875	
ENSG00000012171	0.5257122270332193	4.869595390843237e-05	
ENSG00000012174	0.17869260569183743	0.04083064817739851	
ENSG00000012211	-0.0630346165795288	0.46647082845794474	
ENSG00000012223	-0.0584888831751611	0.733014461217677	
ENSG00000012232	0.035790095615399586	0.7428348664549501	
ENSG00000012504	1.9413323893141126	0.07007506499558867	
ENSG00000012660	-0.03324546444149501	0.8101088803637808	
ENSG00000012779	-0.1419852173413334	0.44879819970271895	
ENSG00000012817	0.09089924739704358	0.720707621155507	
ENSG00000012822	0.03270487391391086	0.7198892419891798	
ENSG00000012963	-0.0345021629226121	0.6748898203160156	
ENSG00000012983	-0.184408021832541	0.1130502619654788	
ENSG00000013016	0.402280716981958	0.0037289716113339424	
ENSG00000013275	0.3617823253593002	0.00010890220748561581	
ENSG00000013288	0.42179196644802364	0.005861750658906231	
ENSG00000013293	1.2385740975204191	0.2103047003905163	
ENSG00000013297	0.761104560118378	5.554671634430783e-05	
ENSG00000013306	-0.12399248580782807	0.2852731498473131	
ENSG00000013364	-0.26701785914882414	0.11655591753567342	
ENSG00000013374	-0.2589050698662225	0.004746511514970236	
ENSG00000013375	0.07731122445797833	0.6029439690302494	
ENSG00000013392	0.25372536073094243	0.014526613585663144	
ENSG00000013441	0.5097261163923541	2.4124405299381986e-06	
ENSG00000013503	-0.22467260194660676	0.036190656416388765	
ENSG00000013523	0.008098928448322606	0.9210547415999659	
ENSG00000013561	-0.22483704399837467	0.020877043067541408	
ENSG00000013563	0.11340562440479562	0.2805309515287205	
ENSG00000013573	0.4998007447856425	0.048078927135828994	
ENSG00000013583	-0.15748831678094533	0.00829030536348419	
ENSG00000013588	-0.33129175618260664	0.42605910718246554	
ENSG00000013619	0.6107249677741103	0.0005669209455884943	
ENSG00000013725	0.8590520255785292	0.07280696949170895	
ENSG00000013810	-0.15101198017746187	0.5409293803414374	
ENSG00000014123	0.21721900864777188	0.024911921181190136	
ENSG00000014138	-0.3086695465631508	0.03621979062977899	
ENSG00000014164	0.39653411969750474	0.0005218468240999921	
ENSG00000014216	0.08778361035996074	0.3318634857094581	
ENSG00000014257	-0.620614022619097	0.09112479454290573	
ENSG00000014641	0.07267243730211348	0.3726232437253322	
ENSG00000014824	-0.14407675816555976	0.10226443603527118	
ENSG00000014914	0.4964358412767855	0.008997059824048971	
ENSG00000014919	0.32804544711879213	2.40759699195362e-10	
ENSG00000015133	-0.16155882114492304	0.06088511154331773	
