GeneID	Symbol	Description	log2(fold change)(Control vs DCM)	-log10(Pvalue)(Control vs DCM)
2170	FABP3	fatty acid binding protein 3	0.248	1.393
553115	PEF1	penta-EF-hand domain containing 1	-0.284	3.346
107985471	PEF1-AS1	PEF1 and COL16A1 antisense RNA 1	-0.907	2.664
105378628	LOC105378628		-1.21	3.965
1307	COL16A1	collagen type XVI alpha 1 chain	-1.455	9.265
101929444	LOC101929444	uncharacterized LOC101929444	-1.471	12.018
576	ADGRB2	adhesion G protein-coupled receptor B2	-0.668	2.84
8073	PTP4A2	protein tyrosine phosphatase 4A2	0.513	11.407
10657	KHDRBS1	KH RNA binding domain containing, signal transduction associated 1	-0.249	4.85
200081	TXLNA	taxilin alpha	-0.164	2.486
56063	TMEM234	transmembrane protein 234	-0.177	1.757
149069	DCDC2B	doublecortin domain containing 2B	-0.334	1.654
8668	EIF3I	eukaryotic translation initiation factor 3 subunit I	0.194	2.078
84734	FAM167B	family with sequence similarity 167 member B	1.238	5.66
3932	LCK	LCK proto-oncogene, Src family tyrosine kinase	-0.678	1.355
81629	TSSK3	testis specific serine kinase 3	-0.284	1.551
100128071	FAM229A	family with sequence similarity 229 member A	-1.371	9.179
653121	ZBTB8A	zinc finger and BTB domain containing 8A	-0.38	2.101
102723870	LOC102723870	uncharacterized LOC102723870	0.453	1.373
339487	ZBTB8OS	zinc finger and BTB domain containing 8 opposite strand	0.287	3.118
81493	SYNC	syncoilin, intermediate filament protein	0.328	2.872
8565	YARS1	tyrosyl-tRNA synthetase 1	0.377	3.793
64766	S100PBP	S100P binding protein	-0.118	1.379
3208	HPCA	hippocalcin	-0.705	1.613
113452	TMEM54	transmembrane protein 54	-0.874	4.79
204	AK2	adenylate kinase 2	0.286	4.754
113451	AZIN2	antizyme inhibitor 2	-1.111	3.846
55223	TRIM62	tripartite motif containing 62	-0.226	1.756
100500853	MIR3605	microRNA 3605	0.533	3.22
100506144	TMEM35B	transmembrane protein 35B	-0.415	5.809
6421	SFPQ	splicing factor proline and glutamine rich	-0.25	3.729
100861513	ZMYM4-AS1	ZMYM4 antisense RNA 1	0.426	1.742
23154	NCDN	neurochondrin	-0.625	9.128
63967	CLSPN	claspin	1.008	2.894
26523	AGO1	argonaute RISC component 1	-0.121	1.437
1296	COL8A2	collagen type VIII alpha 2 chain	-1.6	6.33
27095	TRAPPC3	trafficking protein particle complex subunit 3	0.322	4.719
9967	THRAP3	thyroid hormone receptor associated protein 3	0.217	2.071
79729	SH3D21	SH3 domain containing 21	-0.426	2.302
55194	EVA1B	eva-1 homolog B	-0.658	3.969
83931	STK40	serine/threonine kinase 40	0.311	2.6
84967	LSM10	LSM10, U7 small nuclear RNA associated	0.455	4.846
64960	MRPS15	mitochondrial ribosomal protein S15	0.463	5.787
64769	MEAF6	MYST/Esa1 associated factor 6	-0.344	3.105
79753	SNIP1	Smad nuclear interacting protein 1	-0.252	3.193
29889	GNL2	G protein nucleolar 2	0.299	3.19
55143	CDCA8	cell division cycle associated 8	0.97	2.942
149175	MANEAL	mannosidase endo-alpha like	-0.408	1.782
79693	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing	-0.455	5.339
105378651	LOC105378651	uncharacterized LOC105378651	-0.554	1.6
10946	SF3A3	splicing factor 3a subunit 3	0.11	1.364
2275	FHL3	four and a half LIM domains 3	0.292	1.335
51118	UTP11	UTP11 small subunit processome component	0.63	8.229
100527950	GJA9-MYCBP	GJA9-MYCBP readthrough	0.233	1.615
26292	MYCBP	MYC binding protein	0.252	1.692
