GeneID	Symbol	Description	log2(fold change)(Control vs DCM)	-log10(Pvalue)(Control vs DCM)
6835	SURF2	surfeit 2	0.322	2.491
57109	REXO4	REX4 homolog, 3'-5' exonuclease	0.442	3.98
11093	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	-0.458	5.548
9719	ADAMTSL2	ADAMTS like 2	-0.876	2.639
138948	DBH-AS1	DBH antisense RNA 1	-1.043	2.59
1757	SARDH	sarcosine dehydrogenase	-0.766	1.954
266655	BRD3OS	BRD3 opposite strand	-0.272	3.074
8019	BRD3	bromodomain containing 3	-0.227	3.342
6256	RXRA	retinoid X receptor alpha	0.459	6.882
100506599	PPP1R26-AS1	PPP1R26 antisense RNA 1	-0.463	1.67
157922	CAMSAP1	calmodulin regulated spectrin associated protein 1	0.353	5.435
107987141	CAMSAP1-DT	CAMSAP1 divergent transcript	-0.394	1.679
10422	UBAC1	UBA domain containing 1	0.346	4.384
138151	NACC2	NACC family member 2	0.244	1.515
105376323	LINC02846	long intergenic non-protein coding RNA 2846	0.408	1.314
90120	TMEM250	transmembrane protein 250	0.303	2.69
6621	SNAPC4	small nuclear RNA activating complex polypeptide 4	-0.269	3.124
10807	ENTR1	endosome associated trafficking regulator 1	0.275	3.111
56623	INPP5E	inositol polyphosphate-5-phosphatase E	-0.164	1.58
9919	SEC16A	SEC16 homolog A, endoplasmic reticulum export factor	-0.161	2.758
4851	NOTCH1	notch receptor 1	-0.388	2.811
51162	EGFL7	EGF like domain multiple 7	-0.642	8.295
138311	DIPK1B	divergent protein kinase domain 1B	-0.324	3.211
84973	SNHG7	small nucleolar RNA host gene 7	-0.368	1.867
158062	LCN6	lipocalin 6	1.018	1.57
55684	RABL6	RAB, member RAS oncogene family like 6	0.28	4.429
8721	EDF1	endothelial differentiation related factor 1	0.275	2.149
286256	LCN12	lipocalin 12	-1.177	5.94
286257	PAXX	PAXX non-homologous end joining factor	-0.313	2.798
9022	CLIC3	chloride intracellular channel 3	-0.887	3.247
20	ABCA2	ATP binding cassette subfamily A member 2	-0.24	2.153
56654	NPDC1	neural proliferation, differentiation and control 1	-0.648	14.496
91373	UAP1L1	UDP-N-acetylglucosamine pyrophosphorylase 1 like 1	0.441	3.122
11253	MAN1B1	mannosidase alpha class 1B member 1	-0.205	2.598
101930307	LOC101930307		-0.71	7.454
29882	ANAPC2	anaphase promoting complex subunit 2	-0.201	2.731
8636	SSNA1	SS nuclear autoantigen 1	0.22	1.465
286262	TPRN	taperin	0.266	1.357
142680	SLC34A3	solute carrier family 34 member 3	-0.606	1.343
10383	TUBB4B	tubulin beta 4B class IVb	0.712	4.408
401565	FAM166A	family with sequence similarity 166 member A	0.574	2.834
25920	NELFB	negative elongation factor complex member B	-0.196	2.403
441478	NRARP	NOTCH regulated ankyrin repeat protein	-0.435	1.408
54932	EXD3	exonuclease 3'-5' domain containing 3	-0.389	4.815
26012	NSMF	NMDA receptor synaptonuclear signaling and neuronal migration factor	0.256	2.092
116225	ZMYND19	zinc finger MYND-type containing 19	0.515	7.49
651337	LOC651337	uncharacterized LOC651337	0.55	1.877
643224	TUBBP5	tubulin beta pseudogene 5	0.748	3.535
105376333	LOC105376333	uncharacterized LOC105376333	-0.477	2.206
102724813	LOC102724813	protein FRG1B	0.519	2.61
347688	TUBB8	tubulin beta 8 class VIII	0.647	3.085
107984190	LOC107984190	uncharacterized LOC107984190	0.622	6.662
22982	DIP2C	disco interacting protein 2 homolog C	0.225	2.545
414235	DIP2C-AS1	DIP2C antisense RNA 1	0.904	2.676
107984285	LOC107984285	replaced by ID 23185	-0.707	3.928
5214	PFKP	phosphofructokinase, platelet	-0.226	1.496
10531	PITRM1	pitrilysin metallopeptidase 1	0.217	2.101
105376369	LOC105376369	uncharacterized LOC105376369	-1.268	3.504
100216001	MANCR	mitotically associated long non coding RNA	0.833	1.382
1645	AKR1C1	aldo-keto reductase family 1 member C1	0.833	3.336
1646	AKR1C2	aldo-keto reductase family 1 member C2	0.811	3.129
8644	AKR1C3	aldo-keto reductase family 1 member C3	0.748	3.59
1109	AKR1C4	aldo-keto reductase family 1 member C4	0.639	2.319
10276	NET1	neuroepithelial cell transforming 1	-0.208	1.415
54906	TASOR2	transcription activation suppressor family member 2	0.301	5.976
2665	GDI2	GDP dissociation inhibitor 2	0.247	4.952
84893	FBH1	F-box DNA helicase 1	0.479	15.024
105376384	LOC105376384	uncharacterized LOC105376384	0.24	3.323
107984200	LOC107984200	uncharacterized LOC107984200	0.474	2.124
84991	RBM17	RNA binding motif protein 17	0.407	9.952
5209	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	0.764	4.389
5588	PRKCQ	protein kinase C theta	-0.722	1.378
80760	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5	-1.152	9.707
509	ATP5F1C	ATP synthase F1 subunit gamma	0.307	1.852
83860	TAF3	TATA-box binding protein associated factor 3	0.203	1.998
414196	CELF2-AS1	CELF2 antisense RNA 1	0.591	1.383
9712	USP6NL	USP6 N-terminal like	-0.336	3.83
254427	PROSER2	proline and serine rich 2	-0.578	2.188
26019	UPF2	UPF2 regulator of nonsense mediated mRNA decay	0.502	10.454
55176	SEC61A2	SEC61 translocon subunit alpha 2	-0.199	1.669
11164	NUDT5	nudix hydrolase 5	0.45	9.124
8872	CDC123	cell division cycle 123	0.418	8.393
57118	CAMK1D	calcium/calmodulin dependent protein kinase ID	0.772	2.378
83643	CCDC3	coiled-coil domain containing 3	-1.061	4.865
10133	OPTN	optineurin	0.678	12.328
222389	BEND7	BEN domain containing 7	0.42	4.931
8559	PRPF18	pre-mRNA processing factor 18	0.236	5.436
55691	FRMD4A	FERM domain containing 4A	0.264	1.929
83641	FAM107B	family with sequence similarity 107 member B	-0.508	1.831
79723	SUV39H2	SUV39H2 histone lysine methyltransferase	-0.284	1.683
10557	RPP38	ribonuclease P/MRP subunit p38	0.224	2.063
9397	NMT2	N-myristoyltransferase 2	0.229	1.481
107984210	LOC107984210	uncharacterized LOC107984210	0.391	2.138
100192204	PPIAP30	peptidylprolyl isomerase A pseudogene 30	-0.502	1.857
8516	ITGA8	integrin subunit alpha 8	-0.706	2.299
80013	MINDY3	MINDY lysine 48 deubiquitinase 3	-0.211	1.903
9317	PTER	phosphotriesterase related	0.687	5.914
389941	C1QL3	complement C1q like 3	1.122	1.846
6251	RSU1	Ras suppressor protein 1	0.487	6.453
100507347	VIM-AS1	VIM antisense RNA 1	-0.577	3.556
9200	HACD1	3-hydroxyacyl-CoA dehydratase 1	0.313	2.565
8027	STAM	signal transducing adaptor molecule	-0.203	1.453
783	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	0.647	3.02
84898	PLXDC2	plexin domain containing 2	-0.749	3.727
10529	NEBL	nebulette	0.336	2.667
387640	SKIDA1	SKI/DACH domain containing 1	0.433	1.676
8028	MLLT10	MLLT10 histone lysine methyltransferase DOT1L cofactor	0.202	1.379
64215	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1	0.453	5.082
100130992	LOC100130992	uncharacterized LOC100130992	-0.819	5.194
100532731	COMMD3-BMI1	COMMD3-BMI1 readthrough	0.123	1.528
5305	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	-0.342	1.807
256815	C10orf67	chromosome 10 open reading frame 67	-0.783	4.005
220213	OTUD1	OTU deubiquitinase 1	-1.253	3.985
56243	KIAA1217	KIAA1217	0.268	2.382
57584	ARHGAP21	Rho GTPase activating protein 21	0.343	4.145
10006	ABI1	abl interactor 1	-0.182	1.408
387644	FAM238C	family with sequence similarity 238 member C	0.619	1.652
22852	ANKRD26	ankyrin repeat domain containing 26	0.511	5.068
10730	YME1L1	YME1 like 1 ATPase	0.24	5.999
91452	ACBD5	acyl-CoA binding domain containing 5	0.391	4.285
387646	LRRC37A6P	leucine rich repeat containing 37 member A6, pseudogene	0.662	3.247
105376463	LINC02680	long intergenic non-protein coding RNA 2680	-0.743	1.606
55130	ODAD2	outer dynein arm docking complex subunit 2	-1.008	2.214
220906	WAC-AS1	WAC antisense RNA 1 (head to head)	0.263	5.936
51322	WAC	WW domain containing adaptor with coiled-coil	0.213	2.192
6840	SVIL	supervillin	-0.235	1.554
107984172	LOC107984172	uncharacterized LOC107984172	0.967	2.112
57608	JCAD	junctional cadherin 5 associated	-0.314	1.788
1326	MAP3K8	mitogen-activated protein kinase kinase kinase 8	0.546	3.739
645954	SVIL2P	supervillin family member 2, pseudogene	-0.32	2.212
220929	ZNF438	zinc finger protein 438	0.308	3.616
220930	ZEB1-AS1	ZEB1 antisense RNA 1	-0.204	1.441
94134	ARHGAP12	Rho GTPase activating protein 12	0.231	1.618
107984219	LOC107984219	uncharacterized LOC107984219	0.49	3.952
3688	ITGB1	integrin subunit beta 1	0.598	5.809
56288	PARD3	par-3 family cell polarity regulator	0.474	7.855
8453	CUL2	cullin 2	0.31	6.214
57209	ZNF248	zinc finger protein 248	0.179	1.593
7581	ZNF33A	zinc finger protein 33A	0.46	5.482
7587	ZNF37A	zinc finger protein 37A	0.339	4.408
285961	SEPTIN7P9	septin 7 pseudogene 9	-0.543	3.928
100129482	ZNF37BP	zinc finger protein 37B, pseudogene	0.385	2.633
7582	ZNF33B	zinc finger protein 33B	0.412	3.218
9790	BMS1	BMS1 ribosome biogenesis factor	0.327	11.477
55454	CSGALNACT2	chondroitin sulfate N-acetylgalactosaminyltransferase 2	-0.295	1.573
221002	RASGEF1A	RasGEF domain family member 1A	0.661	2.003
3185	HNRNPF	heterogeneous nuclear ribonucleoprotein F	0.255	6.024
105379857	LOC105379857	replaced by ID 642819	-0.789	2.787
8187	ZNF239	zinc finger protein 239	0.325	1.67
220992	ZNF485	zinc finger protein 485	0.299	2.065
7580	ZNF32	zinc finger protein 32	0.362	3.641
414208	ZNF32-AS2	ZNF32 antisense RNA 2	0.298	3.242
220980	TMEM72-AS1	TMEM72 antisense RNA 1	-1.257	4.998
240	ALOX5	arachidonate 5-lipoxygenase	0.568	1.87
220972	MARCHF8	membrane associated ring-CH-type finger 8	0.294	5.106
253725	WASHC2C	WASH complex subunit 2C	0.231	2.108
728407	PARGP1	poly(ADP-ribose) glycohydrolase pseudogene 1	0.229	1.823
100287932	TIMM23	translocase of inner mitochondrial membrane 23	0.523	8.422
728643	HNRNPA1P33	heterogeneous nuclear ribonucleoprotein A1 pseudogene 33	-0.786	10.539
414212	GLUD1P2	glutamate dehydrogenase 1 pseudogene 2	-0.314	1.47
2662	GDF10	growth differentiation factor 10	-2.587	11.37
58504	ARHGAP22	Rho GTPase activating protein 22	-0.976	7.073
100506769	C10orf71-AS1	C10orf71 antisense RNA 1	-0.545	2.643
118461	C10orf71	chromosome 10 open reading frame 71	-0.32	2.07
55753	OGDHL	oxoglutarate dehydrogenase L	-1.08	1.949
8505	PARG	poly(ADP-ribose) glycohydrolase	0.221	2.745
414189	AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	-0.166	1.686
387680	WASHC2A	WASH complex subunit 2A	0.236	1.69
56624	ASAH2	N-acylsphingosine amidohydrolase 2	0.22	1.303
105378302	LOC105378302	uncharacterized LOC105378302	0.421	1.471
23283	CSTF2T	cleavage stimulation factor subunit 2 tau variant	-0.157	1.73
100506939	PRKG1-AS1	PRKG1 antisense RNA 1	-0.374	1.679
65217	PCDH15	protocadherin related 15	-1.281	2.526
55847	CISD1	CDGSH iron sulfur domain 1	0.333	5.899
80114	BICC1	BicC family RNA binding protein 1	-0.394	1.406
100507008	LINC00844	long intergenic non-protein coding RNA 844	1.179	3.509
220963	SLC16A9	solute carrier family 16 member 9	-2.505	17.757
288	ANK3	ankyrin 3	0.283	1.869
107987153	LOC107987153		-1.202	1.917
983	CDK1	cyclin dependent kinase 1	0.781	3.355
9886	RHOBTB1	Rho related BTB domain containing 1	-0.328	1.554
84159	ARID5B	AT-rich interaction domain 5B	-0.479	1.394
22891	ZNF365	zinc finger protein 365	-2.826	10.002
84890	ADO	2-aminoethanethiol dioxygenase	-0.349	2.352
1959	EGR2	early growth response 2	-2.142	4.765
305	ANXA2P3	annexin A2 pseudogene 3	-0.523	2.227
84665	MYPN	myopalladin	-0.352	1.568
64081	PBLD	phenazine biosynthesis like protein domain containing	-0.408	3.119
1763	DNA2	DNA replication helicase/nuclease 2	0.566	2.737
8034	SLC25A16	solute carrier family 25 member 16	-0.355	5.114
55749	CCAR1	cell division cycle and apoptosis regulator 1	0.348	3.48
219736	STOX1	storkhead box 1	0.719	1.67
9188	DDX21	DExD-box helicase 21	0.209	1.63
9559	VPS26A	VPS26 retromer complex component A	0.146	2.285
6832	SUPV3L1	Suv3 like RNA helicase	0.235	2.473
3098	HK1	hexokinase 1	0.209	2.675
219738	FAM241B	family with sequence similarity 241 member B	-0.449	2.353
84883	AIFM2	apoptosis inducing factor mitochondria associated 2	0.331	4.411
5464	PPA1	inorganic pyrophosphatase 1	0.497	6.332
1979	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	0.355	3.149
27143	PALD1	phosphatase domain containing paladin 1	-0.406	2.725
5551	PRF1	perforin 1	-0.871	2.117
5092	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1	0.195	1.621
219699	UNC5B	unc-5 netrin receptor B	-0.478	1.317
728978	UNC5B-AS1	UNC5B antisense RNA 1	-1.057	3.05
64072	CDH23	cadherin related 23	-0.705	3.285
105378356	LOC105378356	uncharacterized LOC105378356	1.569	2.739
64115	VSIR	V-set immunoregulatory receptor	0.331	1.686
9469	CHST3	carbohydrate sulfotransferase 3	-0.381	1.795
9806	SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2	-0.466	1.42
54541	DDIT4	DNA damage inducible transcript 4	-0.623	1.307
10367	MICU1	mitochondrial calcium uptake 1	0.172	2.676
109617000	SNORA11F	small nucleolar RNA, H/ACA box 11F	0.608	1.577
414245	DNAJC9-AS1	DNAJC9 and MRPS16 antisense RNA 1	-0.302	2.578
51021	MRPS16	mitochondrial ribosomal protein S16	0.16	1.458
118491	CFAP70	cilia and flagella associated protein 70	-0.395	2.321
310	ANXA7	annexin A7	-0.247	4.733
118490	MSS51	MSS51 mitochondrial translational activator	-1.426	8.879
58529	MYOZ1	myozenin 1	-1.903	8.425
79933	SYNPO2L	synaptopodin 2 like	-0.503	2.87
729096	BMS1P4	BMS1 pseudogene 4	0.214	1.33
118487	CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1	0.304	2.972
8509	NDST2	N-deacetylase and N-sulfotransferase 2	-0.172	2.567
818	CAMK2G	calcium/calmodulin dependent protein kinase II gamma	-0.178	1.31
132	ADK	adenosine kinase	0.208	1.875
102723439	LOC102723439	uncharacterized LOC102723439	0.468	3.096
23522	KAT6B	lysine acetyltransferase 6B	0.374	3.559
51207	DUSP13	dual specificity phosphatase 13	1.227	8.257
142891	SAMD8	sterile alpha motif domain containing 8	0.448	3.561
83938	LRMDA	leucine rich melanocyte differentiation associated	1.289	7.299
3778	KCNMA1	potassium calcium-activated channel subfamily M alpha 1	-1.001	3.669
6229	RPS24	ribosomal protein S24	0.6	5.379
101929506	LOC101929506	uncharacterized LOC101929506	0.627	4.763
101060691	NUTM2B-AS1	NUTM2B antisense RNA 1	0.263	1.861
8512	MBL1P	mannose binding lectin 1, pseudogene	-0.891	3.849
6441	SFTPD	surfactant protein D	-0.612	2.026
219348	PLAC9	placenta associated 9	-0.529	2.483
84293	PRXL2A	peroxiredoxin like 2A	0.642	8.258
92211	CDHR1	cadherin related family member 1	0.608	2.1
5995	RGR	retinal G protein coupled receptor	2.459	6.513
23063	WAPL	WAPL cohesin release factor	0.164	2.011
6623	SNCG	synuclein gamma	0.413	2.161
10974	ADIRF	adipogenesis regulatory factor	0.348	1.376
728190	NUTM2A-AS1	NUTM2A antisense RNA 1	0.412	1.725
9562	MINPP1	multiple inositol-polyphosphate phosphatase 1	-0.208	2.36
118932	ANKRD22	ankyrin repeat domain 22	-1.772	2.377
9023	CH25H	cholesterol 25-hydroxylase	-2.218	2.922
105378419	LOC105378419	uncharacterized LOC105378419	-1.105	5.799
101926887	LOC101926887	uncharacterized LOC101926887	-1.234	3.565
439996	IFIT1B	interferon induced protein with tetratricopeptide repeats 1B	0.563	1.466
27063	ANKRD1	ankyrin repeat domain 1	-0.694	2.644
105378427	XLOC_008559	uncharacterized LOC105378427	1.301	1.55
143279	HECTD2	HECT domain E3 ubiquitin protein ligase 2	-0.402	2.308
105378433	LOC105378433	uncharacterized LOC105378433	-1.164	4.817
143282	FGFBP3	fibroblast growth factor binding protein 3	-0.392	1.314
3416	IDE	insulin degrading enzyme	0.37	4.25
3832	KIF11	kinesin family member 11	0.514	2.068
55165	CEP55	centrosomal protein 55	2.388	8.447
118924	FRA10AC1	FRA10A associated CGG repeat 1	0.217	1.858
51196	PLCE1	phospholipase C epsilon 1	-1.18	8.041
100128054	PLCE1-AS1	PLCE1 antisense RNA 1	-0.915	3.622
9124	PDLIM1	PDZ and LIM domain 1	-0.405	3.094
26123	TCTN3	tectonic family member 3	-0.29	3.245
7093	TLL2	tolloid like 2	-0.951	3.924
105378443	LOC105378443	uncharacterized LOC105378443	0.289	1.432
118788	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	0.466	2.243
102723665	LOC102723665	uncharacterized LOC102723665	-0.394	2.171
84986	ARHGAP19	Rho GTPase activating protein 19	-0.204	1.472
23223	RRP12	ribosomal RNA processing 12 homolog	-0.643	2.729
644215	LOC644215	uncharacterized LOC644215	-0.438	1.482
5223	PGAM1	phosphoglycerate mutase 1	-0.195	1.518
84287	ZDHHC16	zinc finger DHHC-type palmitoyltransferase 16	0.497	6.726
80019	UBTD1	ubiquitin domain containing 1	0.349	2.046
112817	HOGA1	4-hydroxy-2-oxoglutarate aldolase 1	0.776	3.258
118812	MORN4	MORN repeat containing 4	-0.571	4.447
55361	PI4K2A	phosphatidylinositol 4-kinase type 2 alpha	-0.367	4.412
83742	MARVELD1	MARVEL domain containing 1	-0.723	4.59
118813	ZFYVE27	zinc finger FYVE-type containing 27	-0.66	12.289
6425	SFRP5	secreted frizzled related protein 5	-1.717	1.75
27291	R3HCC1L	R3H domain and coiled-coil containing 1 like	0.16	1.768
3257	HPS1	HPS1 biogenesis of lysosomal organelles complex 3 subunit 1	-0.257	1.394
101927300	GOT1-DT	GOT1 divergent transcript	-0.451	3.87
1355	COX15	cytochrome c oxidase assembly homolog COX15	-0.186	3.416
51076	CUTC	cutC copper transporter	0.267	1.812
1244	ABCC2	ATP binding cassette subfamily C member 2	0.745	3.784
6319	SCD	stearoyl-CoA desaturase	1.861	4.177
56652	TWNK	twinkle mtDNA helicase	0.233	2.414
84445	LZTS2	leucine zipper tumor suppressor 2	-0.174	1.536
79955	PDZD7	PDZ domain containing 7	-0.31	2.553
81621	KAZALD1	Kazal type serine peptidase inhibitor domain 1	-1.039	6.725
8945	BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase	0.185	1.48
27343	POLL	DNA polymerase lambda	-0.241	2.549
100289509	KCNIP2-AS1	KCNIP2 antisense RNA 1	1.676	3.841
30819	KCNIP2	potassium voltage-gated channel interacting protein 2	1.539	3.15
79803	HPS6	HPS6 biogenesis of lysosomal organelles complex 2 subunit 3	-0.376	4.437
23082	PPRC1	PPARG related coactivator 1	-0.234	2.295
79176	FBXL15	F-box and leucine rich repeat protein 15	-0.381	2.219
10121	ACTR1A	actin related protein 1A	0.216	2.986
81603	TRIM8	tripartite motif containing 8	0.384	3.925
105378460	LOC105378460	uncharacterized LOC105378460	0.543	5.22
403	ARL3	ADP ribosylation factor like GTPase 3	0.419	7.729
100528007	BORCS7-ASMT	BORCS7-ASMT readthrough (NMD candidate)	0.341	2.158
119032	BORCS7	BLOC-1 related complex subunit 7	-0.269	1.692
57412	AS3MT	arsenite methyltransferase	0.369	2.185
54805	CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2	-0.256	1.982
6877	TAF5	TATA-box binding protein associated factor 5	0.321	2.818
9148	NEURL1	neuralized E3 ubiquitin protein ligase 1	-0.892	3.008
79991	STN1	STN1 subunit of CST complex	0.307	4.269
119392	SFR1	SWI5 dependent homologous recombination repair protein 1	-0.254	1.876
119391	GSTO2	glutathione S-transferase omega 2	-0.599	2.672
85450	ITPRIP	inositol 1,4,5-trisphosphate receptor interacting protein	-0.556	2.3
159686	CFAP58	cilia and flagella associated protein 58	-0.341	1.701
4601	MXI1	MAX interactor 1, dimerization protein	0.22	1.33
10285	SMNDC1	survival motor neuron domain containing 1	-0.178	1.702
1847	DUSP5	dual specificity phosphatase 5	-1.034	3.931
9126	SMC3	structural maintenance of chromosomes 3	0.344	5.154
100616113	MIR4680	microRNA 4680	-1.088	4.513
92482	BBIP1	BBSome interacting protein 1	0.206	2.431
57678	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial	0.57	3.047
143187	VTI1A	vesicle transport through interaction with t-SNAREs 1A	0.29	4.372
6934	TCF7L2	transcription factor 7 like 2	-0.205	1.551
107984270	LOC107984270	uncharacterized LOC107984270	-1.481	3.128
3026	HABP2	hyaluronan binding protein 2	-0.663	3.895
840	CASP7	caspase 7	0.323	2.111
9937	DCLRE1A	DNA cross-link repair 1A	0.335	3.041
153	ADRB1	adrenoceptor beta 1	0.708	2.037
3983	ABLIM1	actin binding LIM protein 1	0.375	4.07
142940	TRUB1	TruB pseudouridine synthase family member 1	-0.681	4.635
26033	ATRNL1	attractin like 1	-2.984	14.039
2674	GFRA1	GDNF family receptor alpha 1	0.745	2.272
105378499	HSPA12A-AS1	HSPA12A antisense RNA 1	0.659	6.809
259217	HSPA12A	heat shock protein family A (Hsp70) member 12A	0.634	6.99
57698	SHTN1	shootin 1	0.5	2.944
255082	CASC2	cancer susceptibility 2	-0.696	2.286
8661	EIF3A	eukaryotic translation initiation factor 3 subunit A	0.33	5.8
404636	DENND10	DENN domain containing 10	0.165	2.315
2869	GRK5	G protein-coupled receptor kinase 5	0.493	3.135
7073	TIAL1	TIA1 cytotoxic granule associated RNA binding protein like 1	0.161	2.676
22876	INPP5F	inositol polyphosphate-5-phosphatase F	-0.353	2.185
79892	MCMBP	minichromosome maintenance complex binding protein	0.103	1.503
11196	SEC23IP	SEC23 interacting protein	0.188	2.428
10579	TACC2	transforming acidic coiled-coil containing protein 2	0.297	2.657
387715	ARMS2	age-related maculopathy susceptibility 2	-2.193	5.244
5654	HTRA1	HtrA serine peptidase 1	-0.739	7.506
105378526	LOC105378526		-0.861	4.49
119587	CPXM2	carboxypeptidase X, M14 family member 2	-1.674	4.959
4942	OAT	ornithine aminotransferase	-0.283	5.157
101927944	FAM53B-AS1	FAM53B antisense RNA 1	0.89	3.466
399818	EEF1AKMT2	EEF1A lysine methyltransferase 2	-0.262	2.885
23172	ABRAXAS2	abraxas 2, BRISC complex subunit	0.183	4.427
54764	ZRANB1	zinc finger RANBP2-type containing 1	0.344	3.739
1488	CTBP2	C-terminal binding protein 2	0.132	1.61
399821	EDRF1-DT	EDRF1 divergent transcript	0.405	1.476
26098	EDRF1	erythroid differentiation regulatory factor 1	0.131	2.034
56647	BCCIP	BRCA2 and CDKN1A interacting protein	0.177	1.816
92565	FANK1	fibronectin type III and ankyrin repeat domains 1	-0.557	2.485
105378550	LOC105378550	uncharacterized LOC105378550	-0.663	1.319
1793	DOCK1	dedicator of cytokinesis 1	-0.274	3.72
642938	INSYN2A	inhibitory synaptic factor 2A	-1.759	6.435
4288	MKI67	marker of proliferation Ki-67	2.21	6.708
102724883	LOC102724883	uncharacterized LOC102724883	-0.54	1.703
10539	GLRX3	glutaredoxin 3	0.399	5.593
55844	PPP2R2D	protein phosphatase 2 regulatory subunit Bdelta	0.346	4.617
282973	JAKMIP3	Janus kinase and microtubule interacting protein 3	0.565	3.31
107984282	LOC107984282	uncharacterized LOC107984282	0.815	3.666
3632	INPP5A	inositol polyphosphate-5-phosphatase A	0.162	1.641
101	ADAM8	ADAM metallopeptidase domain 8	-0.78	3.572
118472	ZNF511	zinc finger protein 511	0.243	2.31
282969	FUOM	fucose mutarotase	0.348	1.497
196743	PAOX	polyamine oxidase	0.282	1.723
100133161	LINC01001	long intergenic non-protein coding RNA 1001	-0.606	3.663
101930129	LOC101930129	uncharacterized LOC101930129	0.63	3.237
51272	BET1L	Bet1 golgi vesicular membrane trafficking protein like	-0.241	3.888
5719	PSMD13	proteasome 26S subunit, non-ATPase 13	0.159	1.641
171389	NLRP6	NLR family pyrin domain containing 6	-1.184	1.615
80162	PGGHG	protein-glucosylgalactosylhydroxylysine glucosidase	-0.452	2.368
10581	IFITM2	interferon induced transmembrane protein 2	0.492	5.128
101059906	LOC101059906		-0.508	1.621
8045	RASSF7	Ras association domain family member 7	0.418	1.925
143666	LOC143666	uncharacterized LOC143666	0.525	2.139
3665	IRF7	interferon regulatory factor 7	-0.479	1.835
1815	DRD4	dopamine receptor D4	-1.822	3.676
283232	TMEM80	transmembrane protein 80	-0.576	3.998
6888	TALDO1	transaldolase 1	0.256	2.341
347862	GATD1	glutamine amidotransferase class 1 domain containing 1	-0.299	6.439
51286	CEND1	cell cycle exit and neuronal differentiation 1	0.549	1.325
79751	SLC25A22	solute carrier family 25 member 22	-0.409	4.681
7106	TSPAN4	tetraspanin 4	-0.526	5.943
66005	CHID1	chitinase domain containing 1	-0.299	3.766
54472	TOLLIP	toll interacting protein	-0.165	2.086
1850	DUSP8	dual specificity phosphatase 8	-0.681	2.66
4046	LSP1	lymphocyte specific protein 1	-0.911	3.365
100133545	MRPL23-AS1	MRPL23 antisense RNA 1	-0.98	2.828
3481	IGF2	insulin like growth factor 2	-0.672	2.743
723961	INS-IGF2	INS-IGF2 readthrough	-0.686	2.86
51214	IGF2-AS	IGF2 antisense RNA	-1.053	3.229
29125	C11orf21	chromosome 11 open reading frame 21	0.543	2.666
3784	KCNQ1	potassium voltage-gated channel subfamily Q member 1	0.209	1.525
1028	CDKN1C	cyclin dependent kinase inhibitor 1C	-0.948	5.37
5002	SLC22A18	solute carrier family 22 member 18	-0.668	5.584
114879	OSBPL5	oxysterol binding protein like 5	-0.181	1.553
7748	ZNF195	zinc finger protein 195	0.232	2.98
107984301	LOC107984301	uncharacterized LOC107984301	-1.644	3.927
116969	ART5	ADP-ribosyltransferase 5	1.013	2.595
6786	STIM1	stromal interaction molecule 1	-0.532	3.416
100616453	MIR4687	microRNA 4687	-0.958	5.119
3043	HBB	hemoglobin subunit beta	-2.511	7.292
3045	HBD	hemoglobin subunit delta	-4.302	7.991
85363	TRIM5	tripartite motif containing 5	0.288	1.552
84067	FHIP1B	FHF complex subunit HOOK interacting protein 1B	-0.451	11.734
6609	SMPD1	sphingomyelin phosphodiesterase 1	0.226	1.559
322	APBB1	amyloid beta precursor protein binding family B member 1	0.306	3.114
3263	HPX	hemopexin	-0.864	3.561
1200	TPP1	tripeptidyl peptidase 1	0.19	2.442
8642	DCHS1	dachsous cadherin-related 1	-0.626	3.982
63875	MRPL17	mitochondrial ribosomal protein L17	0.286	2.849
283298	OLFML1	olfactomedin like 1	-0.42	1.37
8495	PPFIBP2	PPFIA binding protein 2	0.258	1.486
8665	EIF3F	eukaryotic translation initiation factor 3 subunit F	-0.257	4.855
7275	TUB	TUB bipartite transcription factor	-0.301	1.76
4004	LMO1	LIM domain only 1	1.252	3.253
6157	RPL27A	ribosomal protein L27a	0.333	2.619
105376541	NRIP3-DT	NRIP3 divergent transcript	-1.533	4.773
57758	SCUBE2	signal peptide, CUB domain and EGF like domain containing 2	-2.28	11.251
440026	TMEM41B	transmembrane protein 41B	-0.276	1.513
10527	IPO7	importin 7	0.311	4.236
7702	ZNF143	zinc finger protein 143	0.345	4.528
7465	WEE1	WEE1 G2 checkpoint kinase	-0.65	5.674
81846	SBF2	SET binding factor 2	0.137	1.318
