GeneID	Symbol	Description	log10baseMean	log2FC
441432	AQP7P3	aquaporin 7 pseudogene 3	2.38	0.996
112267859	LOC112267859	putative aquaporin-7-like protein 3	2.523	0.822
105379252	LOC105379252	family with sequence similarity 95 member B1-like	1.36	-0.731
105379448	LOC105379448	uncharacterized LOC105379448	1.194	-0.948
26149	ZNF658	zinc finger protein 658	2.374	0.29
101927602	LOC101927602	uncharacterized LOC101927602	2.044	1.453
445571	ZNG1C	Zn regulated GTPase metalloprotein activator 1C	2.543	0.489
105376070	LOC105376070	uncharacterized LOC105376070	1.312	0.508
169693	TMEM252	transmembrane protein 252	1.578	0.631
8395	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta	3.271	0.673
2395	FXN	frataxin	2.894	0.25
9414	TJP2	tight junction protein 2	3.584	0.28
100885775	BANCR	BRAF-activated non-protein coding RNA	2.643	-2.97
320	APBA1	amyloid beta precursor protein binding family A member 1	2.242	-0.566
80036	TRPM3	transient receptor potential cation channel subfamily M member 3	1.224	-0.598
7763	ZFAND5	zinc finger AN1-type containing 5	3.872	-0.337
6096	RORB	RAR related orphan receptor B	2.43	1.036
26578	OSTF1	osteoclast stimulating factor 1	2.605	0.141
5125	PCSK5	proprotein convertase subtilisin/kexin type 5	2.505	-0.393
653162	RPSAP9	ribosomal protein SA pseudogene 9	2.406	0.243
23230	VPS13A	vacuolar protein sorting 13 homolog A	3.317	0.285
29968	PSAT1	phosphoserine aminotransferase 1	1.283	0.693
7091	TLE4	TLE family member 4, transcriptional corepressor	2.63	-0.379
7088	TLE1	TLE family member 1, transcriptional corepressor	2.639	-0.393
105376106	LOC105376106	uncharacterized LOC105376106	0.926	-0.784
158158	RASEF	RAS and EF-hand domain containing	0.873	-2.207
102723989	FRMD3-AS1	FRMD3 antisense RNA 1	1.018	-0.787
80318	GKAP1	G kinase anchoring protein 1	2.716	0.555
80010	RMI1	RecQ mediated genome instability 1	2.332	0.304
4915	NTRK2	neurotrophic receptor tyrosine kinase 2	2.599	-0.575
23287	AGTPBP1	ATP/GTP binding carboxypeptidase 1	3.167	0.822
389765	LOC389765	kinesin family member 27 pseudogene	1.9	0.318
60560	NAA35	N-alpha-acetyltransferase 35, NatC auxiliary subunit	2.974	0.22
81689	ISCA1	iron-sulfur cluster assembly 1	3.356	0.237
79670	TUT7	terminal uridylyl transferase 7	2.909	0.203
1514	CTSL	cathepsin L	3.54	0.297
10927	SPIN1	spindlin 1	3.309	-0.217
286223	C9orf47	replaced by ID 1903	1.812	0.474
1903	S1PR3	sphingosine-1-phosphate receptor 3	2.964	1.207
1164	CKS2	CDC28 protein kinase regulatory subunit 2	1.789	0.503
105376139	LOC105376139	uncharacterized LOC105376139	1.085	-0.947
10912	GADD45G	growth arrest and DNA damage inducible gamma	2.888	-1.488
100129316	LOC100129316	uncharacterized LOC100129316	1.125	0.725
100129347	LINC00484	long intergenic non-protein coding RNA 484	1.035	-0.957
112268048	LOC112268048	uncharacterized LOC112268048	1.815	-0.538
55035	NOL8	nucleolar protein 8	2.819	0.233
4969	OGN	osteoglycin	3.103	-1.571
4958	OMD	osteomodulin	2.776	-1.122
54829	ASPN	asporin	3.362	-1.456
1842	ECM2	extracellular matrix protein 2	2.903	-0.955
100128361	LOC100128361	uncharacterized LOC100128361	1.368	-0.313
138649	ANKRD19P	ankyrin repeat domain 19, pseudogene	2.6	0.425
101927954	LOC101927954	uncharacterized LOC101927954	0.805	-0.599
445577	FAM120A2P	family with sequence similarity 120A2, pseudogene	2.427	0.245
23196	FAM120A	family with sequence similarity 120A	3.659	0.306
107987098	LOC107987098		1.794	-0.373
84641	MFSD14B	major facilitator superfamily domain containing 14B	2.91	-0.213
101928119	LOC101928119	uncharacterized LOC101928119	0.932	-0.751
105376156	LOC105376156	uncharacterized LOC105376156	1.731	0.68
100507346	LOC100507346	uncharacterized LOC100507346	1.3	0.433
375748	ERCC6L2	ERCC excision repair 6 like 2	2.761	0.138
195828	ZNF367	zinc finger protein 367	2.211	0.316
22869	ZNF510	zinc finger protein 510	2.667	0.187
84278	MFSD14CP	major facilitator superfamily domain containing 14C, pseudogene	2.117	-0.242
7111	TMOD1	tropomodulin 1	3.879	0.181
158427	TSTD2	thiosulfate sulfurtransferase like domain containing 2	3.371	0.338
4686	NCBP1	nuclear cap binding protein subunit 1	3.01	0.178
112268051	LOC112268051		0.977	0.678
54187	NANS	N-acetylneuraminate synthase	2.665	0.464
9830	TRIM14	tripartite motif containing 14	2.454	0.328
441461	STX17-DT	STX17 divergent transcript	1.2	-0.547
55014	STX17	syntaxin 17	3.018	0.232
23071	ERP44	endoplasmic reticulum protein 44	3.154	0.209
27130	INVS	inversin	2.426	0.225
91283	MSANTD3	Myb/SANT DNA binding domain containing 3	2.584	0.468
100526694	MSANTD3-TMEFF1	MSANTD3-TMEFF1 readthrough	1.924	0.441
54534	MRPL50	mitochondrial ribosomal protein L50	3.035	0.313
84302	PGAP4	post-GPI attachment to proteins GalNAc transferase 4	3.316	-0.258
101928550	SMC2-DT	SMC2 divergent transcript	1.857	0.873
23446	SLC44A1	solute carrier family 44 member 1	3.14	-0.271
83856	FSD1L	fibronectin type III and SPRY domain containing 1 like	2.53	-0.529
26134	RALGAPA1P1	RALGAPA1 pseudogene 1	2.409	0.202
105376204	LOC105376204	uncharacterized LOC105376204	1.471	-0.611
112268052	LOC112268052		1.716	-0.54
9314	KLF4	KLF transcription factor 4	3.131	-0.856
8518	ELP1	elongator acetyltransferase complex subunit 1	3.268	-0.139
54942	ABITRAM	actin binding transcription modulator	2.737	0.303
23731	TMEM245	transmembrane protein 245	3.776	0.445
54566	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	2.859	0.711
7295	TXN	thioredoxin	2.904	0.405
79987	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	3.074	-0.787
23392	ECPAS	Ecm29 proteasome adaptor and scaffold	3.645	0.354
158399	ZNF483	zinc finger protein 483	2.642	-0.576
22949	PTGR1	prostaglandin reductase 1	2.897	0.365
548645	DNAJC25	DnaJ heat shock protein family (Hsp40) member C25	2.397	0.257
158401	SHOC1	shortage in chiasmata 1	0.866	-0.897
7357	UGCG	UDP-glucose ceramide glucosyltransferase	2.809	-0.264
64420	SUSD1	sushi domain containing 1	2.164	0.492
169834	ZNF883	zinc finger protein 883	2.337	0.649
7539	ZFP37	ZFP37 zinc finger protein	1.904	-0.432
100128385	FAM225B	family with sequence similarity 225 member B	1.278	-1.049
286333	FAM225A	family with sequence similarity 225 member A	1.309	-0.981
1318	SLC31A2	solute carrier family 31 member 2	2.338	0.414
23307	FKBP15	FKBP prolyl isomerase family member 15	3.139	0.135
246184	CDC26	cell division cycle 26	2.559	0.393
210	ALAD	aminolevulinate dehydratase	3.589	0.382
85301	COL27A1	collagen type XXVII alpha 1 chain	2.978	0.478
105376224	LOC105376224	uncharacterized LOC105376224	1.281	0.654
9550	ATP6V1G1	ATPase H+ transporting V1 subunit G1	3.214	0.163
203197	TMEM268	transmembrane protein 268	2.171	-0.393
7099	TLR4	toll like receptor 4	2.827	0.383
55755	CDK5RAP2	CDK5 regulatory subunit associated protein 2	3.287	0.408
1955	MEGF9	multiple EGF like domains 9	2.838	1.049
26147	PHF19	PHD finger protein 19	2.702	-0.196
7185	TRAF1	TNF receptor associated factor 1	2.389	-0.282
2934	GSN	gelsolin	4.661	-0.613
57000	GSN-AS1	GSN antisense RNA 1	1.919	-0.32
2040	STOM	stomatin	3.772	-0.226
92399	MRRF	mitochondrial ribosome recycling factor	3.034	0.173
55342	STRBP	spermatid perinuclear RNA binding protein	2.891	0.379
5695	PSMB7	proteasome 20S subunit beta 7	3.287	0.212
100129034	LOC100129034	uncharacterized LOC100129034	3.048	0.138
401551	WDR38	WD repeat domain 38	1.929	-0.578
11224	RPL35	ribosomal protein L35	3.606	0.466
81873	ARPC5L	actin related protein 2/3 complex subunit 5 like	3.007	0.167
2800	GOLGA1	golgin A1	2.966	0.284
26130	GAPVD1	GTPase activating protein and VPS9 domains 1	3.133	0.12
112268055	LOC112268055	uncharacterized LOC112268055	2.047	-0.285
79109	MAPKAP1	MAPK associated protein 1	3.45	0.423
5090	PBX3	PBX homeobox 3	3.209	0.195
4010	LMX1B	LIM homeobox transcription factor 1 beta	1.548	-0.994
23099	ZBTB43	zinc finger and BTB domain containing 43	3.172	0.348
84253	GARNL3	GTPase activating Rap/RanGAP domain like 3	2.796	-0.375
112268056	LOC112268056		1.812	-0.537
7633	ZNF79	zinc finger protein 79	2.224	0.437
6136	RPL12	ribosomal protein L12	3.708	0.306
90678	LRSAM1	leucine rich repeat and sterile alpha motif containing 1	3.037	0.471
10044	SH2D3C	SH2 domain containing 3C	3.026	-0.48
1025	CDK9	cyclin dependent kinase 9	3.03	-0.149
2356	FPGS	folylpolyglutamate synthase	2.996	-0.29
2022	ENG	endoglin	3.896	-0.509
102723566	LOC102723566	uncharacterized LOC102723566	2.851	-0.71
203	AK1	adenylate kinase 1	3.879	0.233
27090	ST6GALNAC4	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4	2.863	-0.377
8818	DPM2	dolichyl-phosphate mannosyltransferase subunit 2, regulatory	2.422	-0.268
399665	EEIG1	estrogen-induced osteoclastogenesis regulator 1	2.777	-0.358
114789	SLC25A25	solute carrier family 25 member 25	2.449	-0.274
100289019	SLC25A25-AS1	SLC25A25 antisense RNA 1	2.415	-0.336
79095	BBLN	bublin coiled coil protein	2.671	-0.578
25792	CIZ1	CDKN1A interacting zinc finger protein 1	3.263	0.143
1759	DNM1	dynamin 1	2.441	-0.605
2801	GOLGA2	golgin A2	3.407	0.214
105376286	LOC105376286	uncharacterized LOC105376286	1.816	0.168
51117	COQ4	coenzyme Q4	2.797	-0.241
10999	SLC27A4	solute carrier family 27 member 4	2.737	0.391
81605	URM1	ubiquitin related modifier 1	3.072	-0.139
51148	CERCAM	cerebral endothelial cell adhesion molecule	2.693	-0.635
101929270	LOC101929270	uncharacterized LOC101929270	1.274	-0.42
84885	ZDHHC12	zinc finger DHHC-type palmitoyltransferase 12	2.044	0.34
51490	SPOUT1	SPOUT domain containing methyltransferase 1	2.898	0.169
883	KYAT1	kynurenine aminotransferase 1	2.533	0.394
254295	PHYHD1	phytanoyl-CoA dioxygenase domain containing 1	2.713	0.368
23511	NUP188	nucleoporin 188	3.073	-0.442
101929314	LOC101929314	uncharacterized LOC101929314	1.565	-0.596
56904	SH3GLB2	SH3 domain containing GRB2 like, endophilin B2	2.931	-0.298
1384	CRAT	carnitine O-acetyltransferase	3.459	0.17
389792	IER5L	immediate early response 5 like	2.023	-0.532
28989	NTMT1	N-terminal Xaa-Pro-Lys N-methyltransferase 1	2.911	0.184
51450	PRRX2	paired related homeobox 2	1.151	-1.344
27348	TOR1B	torsin family 1 member B	2.603	0.243
51759	C9orf78	chromosome 9 open reading frame 78	3.073	0.247
10868	USP20	ubiquitin specific peptidase 20	2.791	-0.279
57720	GPR107	G protein-coupled receptor 107	3.312	-0.132
23413	NCS1	neuronal calcium sensor 1	2.403	-0.651
256158	HMCN2	hemicentin 2	2.908	-1.134
107987134	LOC107987134	uncharacterized LOC107987134	1.253	-1.059
445	ASS1	argininosuccinate synthase 1	3.059	0.401
100272217	LOC100272217	uncharacterized LOC100272217	1.619	-0.447
8939	FUBP3	far upstream element binding protein 3	3.156	-0.187
25	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	3.244	-0.153
84929	FIBCD1	fibrinogen C domain containing 1	0.959	1.326
10319	LAMC3	laminin subunit gamma 3	1.577	-0.997
8021	NUP214	nucleoporin 214	3.094	-0.151
286336	FAM78A	family with sequence similarity 78 member A	3.069	0.841
84814	PLPP7	phospholipid phosphatase 7 (inactive)	3.366	0.393
84726	PRRC2B	proline rich coiled-coil 2B	3.612	0.186
2889	RAPGEF1	Rap guanine nucleotide exchange factor 1	3.55	0.394
9442	MED27	mediator complex subunit 27	2.548	-0.164
84628	NTNG2	netrin G2	2.079	-1.725
23064	SETX	senataxin	3.308	0.139
389799	CFAP77	cilia and flagella associated protein 77	1.652	0.935
11092	SPACA9	sperm acrosome associated 9	2.27	-0.439
106635683	SNORD141A	small nucleolar RNA, C/D box 141A	2.943	-1.055
9328	GTF3C5	general transcription factor IIIC subunit 5	3.057	0.289
1057	CELP	carboxyl ester lipase pseudogene	1.174	0.756
26301	GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)	2.145	0.367
6835	SURF2	surfeit 2	2.228	0.322
57109	REXO4	REX4 homolog, 3'-5' exonuclease	2.636	0.442
11093	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	2.315	-0.458
9719	ADAMTSL2	ADAMTS like 2	2.519	-0.876
138948	DBH-AS1	DBH antisense RNA 1	1.189	-1.043
1757	SARDH	sarcosine dehydrogenase	1.439	-0.766
266655	BRD3OS	BRD3 opposite strand	2.626	-0.272
8019	BRD3	bromodomain containing 3	2.951	-0.227
6256	RXRA	retinoid X receptor alpha	3.348	0.459
100506599	PPP1R26-AS1	PPP1R26 antisense RNA 1	1.247	-0.463
157922	CAMSAP1	calmodulin regulated spectrin associated protein 1	3.03	0.353
107987141	CAMSAP1-DT	CAMSAP1 divergent transcript	1.658	-0.394
10422	UBAC1	UBA domain containing 1	3.386	0.346
138151	NACC2	NACC family member 2	3.335	0.244
105376323	LINC02846	long intergenic non-protein coding RNA 2846	1.306	0.408
90120	TMEM250	transmembrane protein 250	2.68	0.303
6621	SNAPC4	small nuclear RNA activating complex polypeptide 4	2.565	-0.269
10807	ENTR1	endosome associated trafficking regulator 1	2.672	0.275
56623	INPP5E	inositol polyphosphate-5-phosphatase E	2.721	-0.164
9919	SEC16A	SEC16 homolog A, endoplasmic reticulum export factor	3.261	-0.161
4851	NOTCH1	notch receptor 1	3.052	-0.388
51162	EGFL7	EGF like domain multiple 7	3.372	-0.642
138311	DIPK1B	divergent protein kinase domain 1B	2.823	-0.324
84973	SNHG7	small nucleolar RNA host gene 7	2.601	-0.368
158062	LCN6	lipocalin 6	2.415	1.018
55684	RABL6	RAB, member RAS oncogene family like 6	3.385	0.28
8721	EDF1	endothelial differentiation related factor 1	3.566	0.275
286256	LCN12	lipocalin 12	1.997	-1.177
286257	PAXX	PAXX non-homologous end joining factor	2.432	-0.313
9022	CLIC3	chloride intracellular channel 3	1.796	-0.887
20	ABCA2	ATP binding cassette subfamily A member 2	3.204	-0.24
56654	NPDC1	neural proliferation, differentiation and control 1	3.152	-0.648
91373	UAP1L1	UDP-N-acetylglucosamine pyrophosphorylase 1 like 1	2.683	0.441
11253	MAN1B1	mannosidase alpha class 1B member 1	2.992	-0.205
101930307	LOC101930307		2.506	-0.71
29882	ANAPC2	anaphase promoting complex subunit 2	2.843	-0.201
8636	SSNA1	SS nuclear autoantigen 1	2.885	0.22
286262	TPRN	taperin	2.512	0.266
142680	SLC34A3	solute carrier family 34 member 3	0.843	-0.606
10383	TUBB4B	tubulin beta 4B class IVb	3.917	0.712
401565	FAM166A	family with sequence similarity 166 member A	2.655	0.574
25920	NELFB	negative elongation factor complex member B	3.045	-0.196
441478	NRARP	NOTCH regulated ankyrin repeat protein	2.448	-0.435
54932	EXD3	exonuclease 3'-5' domain containing 3	2.484	-0.389
26012	NSMF	NMDA receptor synaptonuclear signaling and neuronal migration factor	2.715	0.256
116225	ZMYND19	zinc finger MYND-type containing 19	2.336	0.515
651337	LOC651337	uncharacterized LOC651337	0.873	0.55
643224	TUBBP5	tubulin beta pseudogene 5	1.299	0.748
105376333	LOC105376333	uncharacterized LOC105376333	1.63	-0.477
102724813	LOC102724813	protein FRG1B	1.514	0.519
347688	TUBB8	tubulin beta 8 class VIII	1.484	0.647
107984190	LOC107984190	uncharacterized LOC107984190	1.494	0.622
22982	DIP2C	disco interacting protein 2 homolog C	3.28	0.225
414235	DIP2C-AS1	DIP2C antisense RNA 1	1.645	0.904
107984285	LOC107984285	replaced by ID 23185	1.412	-0.707
5214	PFKP	phosphofructokinase, platelet	3.769	-0.226
10531	PITRM1	pitrilysin metallopeptidase 1	3.553	0.217
105376369	LOC105376369	uncharacterized LOC105376369	0.918	-1.268
100216001	MANCR	mitotically associated long non coding RNA	0.882	0.833
1645	AKR1C1	aldo-keto reductase family 1 member C1	2.826	0.833
1646	AKR1C2	aldo-keto reductase family 1 member C2	2.731	0.811
8644	AKR1C3	aldo-keto reductase family 1 member C3	2.593	0.748
1109	AKR1C4	aldo-keto reductase family 1 member C4	1.401	0.639
10276	NET1	neuroepithelial cell transforming 1	2.759	-0.208
54906	TASOR2	transcription activation suppressor family member 2	3.305	0.301
2665	GDI2	GDP dissociation inhibitor 2	3.46	0.247
84893	FBH1	F-box DNA helicase 1	3.438	0.479
105376384	LOC105376384	uncharacterized LOC105376384	2.5	0.24
107984200	LOC107984200	uncharacterized LOC107984200	1.541	0.474
84991	RBM17	RNA binding motif protein 17	3.341	0.407
5209	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	2.837	0.764
5588	PRKCQ	protein kinase C theta	1.137	-0.722
80760	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5	3.169	-1.152
509	ATP5F1C	ATP synthase F1 subunit gamma	4.106	0.307
83860	TAF3	TATA-box binding protein associated factor 3	2.744	0.203
414196	CELF2-AS1	CELF2 antisense RNA 1	1.381	0.591
9712	USP6NL	USP6 N-terminal like	2.599	-0.336
254427	PROSER2	proline and serine rich 2	1.425	-0.578
26019	UPF2	UPF2 regulator of nonsense mediated mRNA decay	3.08	0.502
55176	SEC61A2	SEC61 translocon subunit alpha 2	2.627	-0.199
11164	NUDT5	nudix hydrolase 5	2.499	0.45
8872	CDC123	cell division cycle 123	3.042	0.418
57118	CAMK1D	calcium/calmodulin dependent protein kinase ID	2.365	0.772
83643	CCDC3	coiled-coil domain containing 3	2.642	-1.061
10133	OPTN	optineurin	3.715	0.678
222389	BEND7	BEN domain containing 7	2.661	0.42
8559	PRPF18	pre-mRNA processing factor 18	2.861	0.236
55691	FRMD4A	FERM domain containing 4A	3.089	0.264
83641	FAM107B	family with sequence similarity 107 member B	2.437	-0.508
79723	SUV39H2	SUV39H2 histone lysine methyltransferase	2.002	-0.284
10557	RPP38	ribonuclease P/MRP subunit p38	2.324	0.224
9397	NMT2	N-myristoyltransferase 2	2.705	0.229
107984210	LOC107984210	uncharacterized LOC107984210	1.362	0.391
100192204	PPIAP30	peptidylprolyl isomerase A pseudogene 30	1.341	-0.502
8516	ITGA8	integrin subunit alpha 8	2.463	-0.706
80013	MINDY3	MINDY lysine 48 deubiquitinase 3	2.771	-0.211
9317	PTER	phosphotriesterase related	2.634	0.687
389941	C1QL3	complement C1q like 3	1.419	1.122
6251	RSU1	Ras suppressor protein 1	3.144	0.487
100507347	VIM-AS1	VIM antisense RNA 1	3.167	-0.577
9200	HACD1	3-hydroxyacyl-CoA dehydratase 1	3.294	0.313
8027	STAM	signal transducing adaptor molecule	3.027	-0.203
783	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	3.141	0.647
84898	PLXDC2	plexin domain containing 2	3.261	-0.749
10529	NEBL	nebulette	4.77	0.336
387640	SKIDA1	SKI/DACH domain containing 1	1.968	0.433
8028	MLLT10	MLLT10 histone lysine methyltransferase DOT1L cofactor	3.162	0.202
64215	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1	2.626	0.453
100130992	LOC100130992	uncharacterized LOC100130992	1.969	-0.819
100532731	COMMD3-BMI1	COMMD3-BMI1 readthrough	2.917	0.123
5305	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	2.796	-0.342
256815	C10orf67	chromosome 10 open reading frame 67	1.482	-0.783
220213	OTUD1	OTU deubiquitinase 1	3.195	-1.253
56243	KIAA1217	KIAA1217	3.281	0.268
57584	ARHGAP21	Rho GTPase activating protein 21	3.377	0.343
10006	ABI1	abl interactor 1	2.969	-0.182
387644	FAM238C	family with sequence similarity 238 member C	1.035	0.619
22852	ANKRD26	ankyrin repeat domain containing 26	2.837	0.511
10730	YME1L1	YME1 like 1 ATPase	3.641	0.24
91452	ACBD5	acyl-CoA binding domain containing 5	3.415	0.391
387646	LRRC37A6P	leucine rich repeat containing 37 member A6, pseudogene	1.77	0.662
105376463	LINC02680	long intergenic non-protein coding RNA 2680	0.906	-0.743
55130	ODAD2	outer dynein arm docking complex subunit 2	0.895	-1.008
220906	WAC-AS1	WAC antisense RNA 1 (head to head)	2.891	0.263
51322	WAC	WW domain containing adaptor with coiled-coil	3.606	0.213
6840	SVIL	supervillin	4.414	-0.235
107984172	LOC107984172	uncharacterized LOC107984172	0.951	0.967
57608	JCAD	junctional cadherin 5 associated	3.304	-0.314
1326	MAP3K8	mitogen-activated protein kinase kinase kinase 8	2.355	0.546
645954	SVIL2P	supervillin family member 2, pseudogene	2.769	-0.32
220929	ZNF438	zinc finger protein 438	2.806	0.308
220930	ZEB1-AS1	ZEB1 antisense RNA 1	2.065	-0.204
94134	ARHGAP12	Rho GTPase activating protein 12	3.018	0.231
107984219	LOC107984219	uncharacterized LOC107984219	2.27	0.49
3688	ITGB1	integrin subunit beta 1	4.293	0.598
56288	PARD3	par-3 family cell polarity regulator	3.118	0.474
8453	CUL2	cullin 2	3.08	0.31
57209	ZNF248	zinc finger protein 248	2.888	0.179
7581	ZNF33A	zinc finger protein 33A	3.091	0.46
7587	ZNF37A	zinc finger protein 37A	2.84	0.339
285961	SEPTIN7P9	septin 7 pseudogene 9	1.574	-0.543
100129482	ZNF37BP	zinc finger protein 37B, pseudogene	2.66	0.385
7582	ZNF33B	zinc finger protein 33B	2.828	0.412
9790	BMS1	BMS1 ribosome biogenesis factor	3.08	0.327
55454	CSGALNACT2	chondroitin sulfate N-acetylgalactosaminyltransferase 2	2.756	-0.295
221002	RASGEF1A	RasGEF domain family member 1A	1.593	0.661
3185	HNRNPF	heterogeneous nuclear ribonucleoprotein F	3.297	0.255
105379857	LOC105379857	replaced by ID 642819	1.073	-0.789
8187	ZNF239	zinc finger protein 239	1.75	0.325
220992	ZNF485	zinc finger protein 485	1.761	0.299
7580	ZNF32	zinc finger protein 32	2.952	0.362
414208	ZNF32-AS2	ZNF32 antisense RNA 2	1.782	0.298
220980	TMEM72-AS1	TMEM72 antisense RNA 1	0.982	-1.257
240	ALOX5	arachidonate 5-lipoxygenase	2.236	0.568
220972	MARCHF8	membrane associated ring-CH-type finger 8	3.197	0.294
253725	WASHC2C	WASH complex subunit 2C	3.252	0.231
728407	PARGP1	poly(ADP-ribose) glycohydrolase pseudogene 1	1.769	0.229
100287932	TIMM23	translocase of inner mitochondrial membrane 23	3.26	0.523
728643	HNRNPA1P33	heterogeneous nuclear ribonucleoprotein A1 pseudogene 33	1.769	-0.786
414212	GLUD1P2	glutamate dehydrogenase 1 pseudogene 2	1.333	-0.314
2662	GDF10	growth differentiation factor 10	1.718	-2.587
58504	ARHGAP22	Rho GTPase activating protein 22	2.202	-0.976
100506769	C10orf71-AS1	C10orf71 antisense RNA 1	2.199	-0.545
118461	C10orf71	chromosome 10 open reading frame 71	3.804	-0.32
55753	OGDHL	oxoglutarate dehydrogenase L	2.504	-1.08
8505	PARG	poly(ADP-ribose) glycohydrolase	2.773	0.221
414189	AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	2.149	-0.166
387680	WASHC2A	WASH complex subunit 2A	3.306	0.236
56624	ASAH2	N-acylsphingosine amidohydrolase 2	2.024	0.22
105378302	LOC105378302	uncharacterized LOC105378302	1.455	0.421
23283	CSTF2T	cleavage stimulation factor subunit 2 tau variant	3.081	-0.157
100506939	PRKG1-AS1	PRKG1 antisense RNA 1	2.142	-0.374
65217	PCDH15	protocadherin related 15	1.221	-1.281
55847	CISD1	CDGSH iron sulfur domain 1	3.377	0.333
80114	BICC1	BicC family RNA binding protein 1	2.693	-0.394
100507008	LINC00844	long intergenic non-protein coding RNA 844	2.12	1.179
220963	SLC16A9	solute carrier family 16 member 9	2.396	-2.505
288	ANK3	ankyrin 3	3.809	0.283
107987153	LOC107987153		1	-1.202
983	CDK1	cyclin dependent kinase 1	1.502	0.781
9886	RHOBTB1	Rho related BTB domain containing 1	3.081	-0.328
84159	ARID5B	AT-rich interaction domain 5B	3.282	-0.479
22891	ZNF365	zinc finger protein 365	1.417	-2.826
84890	ADO	2-aminoethanethiol dioxygenase	2.999	-0.349
1959	EGR2	early growth response 2	2.156	-2.142
305	ANXA2P3	annexin A2 pseudogene 3	1.32	-0.523
84665	MYPN	myopalladin	3.983	-0.352
64081	PBLD	phenazine biosynthesis like protein domain containing	2.287	-0.408
1763	DNA2	DNA replication helicase/nuclease 2	1.975	0.566
8034	SLC25A16	solute carrier family 25 member 16	2.73	-0.355
55749	CCAR1	cell division cycle and apoptosis regulator 1	3.13	0.348
219736	STOX1	storkhead box 1	1.312	0.719
9188	DDX21	DExD-box helicase 21	3.185	0.209
9559	VPS26A	VPS26 retromer complex component A	3.055	0.146
6832	SUPV3L1	Suv3 like RNA helicase	3.02	0.235
3098	HK1	hexokinase 1	4.024	0.209
219738	FAM241B	family with sequence similarity 241 member B	1.889	-0.449
84883	AIFM2	apoptosis inducing factor mitochondria associated 2	2.909	0.331
5464	PPA1	inorganic pyrophosphatase 1	3.222	0.497
1979	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	3.831	0.355
27143	PALD1	phosphatase domain containing paladin 1	2.634	-0.406
5551	PRF1	perforin 1	1.817	-0.871
5092	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1	3.282	0.195
219699	UNC5B	unc-5 netrin receptor B	2.985	-0.478
728978	UNC5B-AS1	UNC5B antisense RNA 1	2.081	-1.057
64072	CDH23	cadherin related 23	2.586	-0.705
105378356	LOC105378356	uncharacterized LOC105378356	1.534	1.569
64115	VSIR	V-set immunoregulatory receptor	3.241	0.331
9469	CHST3	carbohydrate sulfotransferase 3	3.283	-0.381
9806	SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2	2.743	-0.466
54541	DDIT4	DNA damage inducible transcript 4	3.352	-0.623
10367	MICU1	mitochondrial calcium uptake 1	3.189	0.172
109617000	SNORA11F	small nucleolar RNA, H/ACA box 11F	0.977	0.608
414245	DNAJC9-AS1	DNAJC9 and MRPS16 antisense RNA 1	1.967	-0.302
51021	MRPS16	mitochondrial ribosomal protein S16	3.338	0.16
118491	CFAP70	cilia and flagella associated protein 70	2.196	-0.395
310	ANXA7	annexin A7	3.642	-0.247
118490	MSS51	MSS51 mitochondrial translational activator	2.553	-1.426
58529	MYOZ1	myozenin 1	1.852	-1.903
79933	SYNPO2L	synaptopodin 2 like	4.306	-0.503
729096	BMS1P4	BMS1 pseudogene 4	1.76	0.214
118487	CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1	2.695	0.304
8509	NDST2	N-deacetylase and N-sulfotransferase 2	2.735	-0.172
818	CAMK2G	calcium/calmodulin dependent protein kinase II gamma	2.811	-0.178
132	ADK	adenosine kinase	2.882	0.208
102723439	LOC102723439	uncharacterized LOC102723439	1.373	0.468
23522	KAT6B	lysine acetyltransferase 6B	3.119	0.374
51207	DUSP13	dual specificity phosphatase 13	2.501	1.227
142891	SAMD8	sterile alpha motif domain containing 8	3.172	0.448
83938	LRMDA	leucine rich melanocyte differentiation associated	2.299	1.289
3778	KCNMA1	potassium calcium-activated channel subfamily M alpha 1	2.116	-1.001
6229	RPS24	ribosomal protein S24	4.026	0.6
101929506	LOC101929506	uncharacterized LOC101929506	1.489	0.627
101060691	NUTM2B-AS1	NUTM2B antisense RNA 1	2.442	0.263
8512	MBL1P	mannose binding lectin 1, pseudogene	1.591	-0.891
6441	SFTPD	surfactant protein D	1.388	-0.612
