GeneID	Symbol	Description	log10baseMean	log2FC
553115	PEF1	penta-EF-hand domain containing 1	3.101	-0.284
107985471	PEF1-AS1	PEF1 and COL16A1 antisense RNA 1	1.089	-0.907
105378628	LOC105378628		0.946	-1.21
1307	COL16A1	collagen type XVI alpha 1 chain	3.235	-1.455
101929444	LOC101929444	uncharacterized LOC101929444	1.569	-1.471
576	ADGRB2	adhesion G protein-coupled receptor B2	2.45	-0.668
8073	PTP4A2	protein tyrosine phosphatase 4A2	3.699	0.513
10657	KHDRBS1	KH RNA binding domain containing, signal transduction associated 1	3.384	-0.249
200081	TXLNA	taxilin alpha	3.058	-0.164
56063	TMEM234	transmembrane protein 234	2.359	-0.177
149069	DCDC2B	doublecortin domain containing 2B	1.301	-0.334
8668	EIF3I	eukaryotic translation initiation factor 3 subunit I	3.368	0.194
84734	FAM167B	family with sequence similarity 167 member B	1.648	1.238
3932	LCK	LCK proto-oncogene, Src family tyrosine kinase	1.372	-0.678
81629	TSSK3	testis specific serine kinase 3	2.121	-0.284
100128071	FAM229A	family with sequence similarity 229 member A	1.433	-1.371
653121	ZBTB8A	zinc finger and BTB domain containing 8A	2.371	-0.38
102723870	LOC102723870	uncharacterized LOC102723870	1.09	0.453
339487	ZBTB8OS	zinc finger and BTB domain containing 8 opposite strand	2.606	0.287
81493	SYNC	syncoilin, intermediate filament protein	2.933	0.328
8565	YARS1	tyrosyl-tRNA synthetase 1	3.013	0.377
64766	S100PBP	S100P binding protein	2.65	-0.118
3208	HPCA	hippocalcin	0.868	-0.705
113452	TMEM54	transmembrane protein 54	2.174	-0.874
204	AK2	adenylate kinase 2	3.342	0.286
113451	AZIN2	antizyme inhibitor 2	2.126	-1.111
55223	TRIM62	tripartite motif containing 62	2.176	-0.226
100500853	MIR3605	microRNA 3605	1.665	0.533
100506144	TMEM35B	transmembrane protein 35B	2.333	-0.415
6421	SFPQ	splicing factor proline and glutamine rich	3.767	-0.25
100861513	ZMYM4-AS1	ZMYM4 antisense RNA 1	1.156	0.426
23154	NCDN	neurochondrin	3.086	-0.625
63967	CLSPN	claspin	1.103	1.008
26523	AGO1	argonaute RISC component 1	2.969	-0.121
1296	COL8A2	collagen type VIII alpha 2 chain	1.973	-1.6
27095	TRAPPC3	trafficking protein particle complex subunit 3	3.018	0.322
9967	THRAP3	thyroid hormone receptor associated protein 3	3.686	0.217
79729	SH3D21	SH3 domain containing 21	2.124	-0.426
55194	EVA1B	eva-1 homolog B	2.162	-0.658
83931	STK40	serine/threonine kinase 40	3.334	0.311
84967	LSM10	LSM10, U7 small nuclear RNA associated	2.83	0.455
64960	MRPS15	mitochondrial ribosomal protein S15	3.277	0.463
64769	MEAF6	MYST/Esa1 associated factor 6	3.027	-0.344
79753	SNIP1	Smad nuclear interacting protein 1	2.562	-0.252
